orders
order_ID,employee_ID,customer_ID,total_price,order_date
'6258ebd6-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ebd7-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ebd8-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ebd9-4436-11ed-97a8-698b2ad48b41',10.08,'2022-10-3'
'6258ebda-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ebdb-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ebdc-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ebdd-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ebde-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ebdf-4436-11ed-97a8-698b2ad48b41',8.48,'2022-10-3'
'6258ebe0-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ebe1-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ebe2-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ebe3-4436-11ed-97a8-698b2ad48b41',8.48,'2022-10-3'
'6258ebe4-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ebe5-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ebe6-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ebe7-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ebe8-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ebe9-4436-11ed-97a8-698b2ad48b41',10.08,'2022-10-3'
'6258ebea-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ebeb-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ebec-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ebed-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ebee-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ebef-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ebf0-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ebf1-4436-11ed-97a8-698b2ad48b41',10.08,'2022-10-3'
'6258ebf2-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ebf3-4436-11ed-97a8-698b2ad48b41',10.08,'2022-10-3'
'6258ebf4-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ebf5-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ebf6-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ebf7-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ebf8-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ebf9-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ebfa-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ebfb-4436-11ed-97a8-698b2ad48b41',10.08,'2022-10-3'
'6258ebfc-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ebfd-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ebfe-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ebff-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec00-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec01-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec02-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ec03-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec04-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec05-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec06-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ec07-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec08-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec09-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec0a-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ec0b-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec0c-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ec0d-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec0e-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec0f-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec10-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec11-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
